"m","mname","bdate","sexo","f"
"http://dbpedia.org/resource/Shirley_Walker","Shirley Walker","1945-4-10","female","http://dbpedia.org/resource/Batman:_Mask_of_the_Phantasm"
"http://dbpedia.org/resource/Al_Sherman","Al Sherman",1897-09-07,"male","http://dbpedia.org/resource/Gang_War"
"http://dbpedia.org/resource/Al_Sherman","Al Sherman","1897-9-7","male","http://dbpedia.org/resource/Gang_War"
"http://dbpedia.org/resource/Alexandre_Desplat","Alexandre Desplat",1961-08-23,"male","http://dbpedia.org/resource/Fantastic_Mr._Fox_(film)"
"http://dbpedia.org/resource/Alexandre_Desplat","Alexandre Desplat","1961-8-23","male","http://dbpedia.org/resource/Fantastic_Mr._Fox_(film)"
"http://dbpedia.org/resource/Alexandre_Desplat","Alexandre Desplat",1961-08-23,"male","http://dbpedia.org/resource/Girl_with_a_Pearl_Earring_(film)"
"http://dbpedia.org/resource/Alexandre_Desplat","Alexandre Desplat","1961-8-23","male","http://dbpedia.org/resource/Girl_with_a_Pearl_Earring_(film)"
"http://dbpedia.org/resource/James_L._Venable","James L. Venable","1967-1-1","male","http://dbpedia.org/resource/Jersey_Girl_(2004_film)"
"http://dbpedia.org/resource/Joel_McNeely","Joel McNeely",1959-03-28,"male","http://dbpedia.org/resource/Lilo_&_Stitch_2:_Stitch_Has_a_Glitch"
"http://dbpedia.org/resource/Joel_McNeely","Joel McNeely","1959-3-28","male","http://dbpedia.org/resource/Lilo_&_Stitch_2:_Stitch_Has_a_Glitch"
"http://dbpedia.org/resource/Michael_Stearns","Michael Stearns","1948-1-1","male","http://dbpedia.org/resource/Baraka_(film)"
"http://dbpedia.org/resource/Mika_Singh","Mika Singh",1977-06-10,"male","http://dbpedia.org/resource/Loot_(2011_film)"
"http://dbpedia.org/resource/Mika_Singh","Mika Singh","1977-6-10","male","http://dbpedia.org/resource/Loot_(2011_film)"
"http://dbpedia.org/resource/Nicola_Piovani","Nicola Piovani",1946-05-26,"male","http://dbpedia.org/resource/Resurrection_(2001_film)"
"http://dbpedia.org/resource/Nicola_Piovani","Nicola Piovani","1946-5-26","male","http://dbpedia.org/resource/Resurrection_(2001_film)"
"http://dbpedia.org/resource/Pino_Calvi","Pino Calvi","1930-1-12","male","http://dbpedia.org/resource/Crimen_(film)"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi",1974-07-19,"male","http://dbpedia.org/resource/Iron_Man_(2008_film)"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi","1974-7-19","male","http://dbpedia.org/resource/Iron_Man_(2008_film)"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi",1974-07-19,"male","http://dbpedia.org/resource/Mr._Brooks"
"http://dbpedia.org/resource/Ramin_Djawadi","Ramin Djawadi","1974-7-19","male","http://dbpedia.org/resource/Mr._Brooks"
