"a","aname","bdate","sexo","f"
"http://dbpedia.org/resource/Klaus_Kinski","Klaus Kinski",1926-10-18,"male","http://dbpedia.org/resource/Venus_in_Furs_(1969_Franco_film)"
"http://dbpedia.org/resource/Matt_Moore_(actor)","Matt Moore",1888-01-08,"male","http://dbpedia.org/resource/White_Tiger_(1923_film)"
"http://dbpedia.org/resource/Matt_Moore_(actor)","Matt Moore","1888-1-8","male","http://dbpedia.org/resource/White_Tiger_(1923_film)"
"http://dbpedia.org/resource/Ned_Beatty","Ned Beatty",1937-07-06,"male","http://dbpedia.org/resource/The_Toy_(1982_film)"
"http://dbpedia.org/resource/Ned_Beatty","Ned Beatty","1937-7-6","male","http://dbpedia.org/resource/The_Toy_(1982_film)"
"http://dbpedia.org/resource/Rove_McManus","Rove McManus",1974-01-21,"male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Rove_McManus","Rove McManus","1974-1-21","male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Steve_Cardenas","Steve Cardenas",1974-05-29,"male","http://dbpedia.org/resource/Turbo:_A_Power_Rangers_Movie"
"http://dbpedia.org/resource/Steve_Cardenas","Steve Cardenas","1974-5-29","male","http://dbpedia.org/resource/Turbo:_A_Power_Rangers_Movie"
"http://dbpedia.org/resource/Yusaku_Matsuda","Yusaku Matsuda",1949-09-21,"male","http://dbpedia.org/resource/Wuthering_Heights_(1988_film)"
