"f","fname","dir","music","writer","country","lang"
"http://dbpedia.org/resource/Return_of_the_Jedi","Return of the Jedi","http://dbpedia.org/resource/Richard_Marquand","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/George_Lucas","United States","English"
"http://dbpedia.org/resource/Return_of_the_Jedi","Return of the Jedi","http://dbpedia.org/resource/Richard_Marquand","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/Lawrence_Kasdan","United States","English"
"http://dbpedia.org/resource/Rocky","Rocky","http://dbpedia.org/resource/John_G._Avildsen","http://dbpedia.org/resource/Bill_Conti","http://dbpedia.org/resource/Sylvester_Stallone","United States","English"
"http://dbpedia.org/resource/Salò,_or_the_120_Days_of_Sodom","Salò, or the 120 Days of Sodom","http://dbpedia.org/resource/Pier_Paolo_Pasolini","http://dbpedia.org/resource/Ennio_Morricone","http://dbpedia.org/resource/Pupi_Avati","* Italy
* France","French"
"http://dbpedia.org/resource/Salò,_or_the_120_Days_of_Sodom","Salò, or the 120 Days of Sodom","http://dbpedia.org/resource/Pier_Paolo_Pasolini","http://dbpedia.org/resource/Ennio_Morricone","http://dbpedia.org/resource/Sergio_Citti","* Italy
* France","French"
"http://dbpedia.org/resource/Salò,_or_the_120_Days_of_Sodom","Salò, or the 120 Days of Sodom","http://dbpedia.org/resource/Pier_Paolo_Pasolini","http://dbpedia.org/resource/Ennio_Morricone","http://dbpedia.org/resource/Pupi_Avati","* Italy
* France","German"
"http://dbpedia.org/resource/Salò,_or_the_120_Days_of_Sodom","Salò, or the 120 Days of Sodom","http://dbpedia.org/resource/Pier_Paolo_Pasolini","http://dbpedia.org/resource/Ennio_Morricone","http://dbpedia.org/resource/Sergio_Citti","* Italy
* France","German"
"http://dbpedia.org/resource/Salò,_or_the_120_Days_of_Sodom","Salò, or the 120 Days of Sodom","http://dbpedia.org/resource/Pier_Paolo_Pasolini","http://dbpedia.org/resource/Ennio_Morricone","http://dbpedia.org/resource/Pupi_Avati","* Italy
* France","Italian"
"http://dbpedia.org/resource/Salò,_or_the_120_Days_of_Sodom","Salò, or the 120 Days of Sodom","http://dbpedia.org/resource/Pier_Paolo_Pasolini","http://dbpedia.org/resource/Ennio_Morricone","http://dbpedia.org/resource/Sergio_Citti","* Italy
* France","Italian"
"http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace","The Phantom Menace","http://dbpedia.org/resource/George_Lucas","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/George_Lucas","United States","English"
"http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace","Star Wars: Episode I –","http://dbpedia.org/resource/George_Lucas","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/George_Lucas","United States","English"
"http://dbpedia.org/resource/Star_Wars_(film)","Star Wars","http://dbpedia.org/resource/George_Lucas","http://dbpedia.org/resource/John_Williams","http://dbpedia.org/resource/George_Lucas","United States","English"
"http://dbpedia.org/resource/THX_1138","THX 1138","http://dbpedia.org/resource/George_Lucas","http://dbpedia.org/resource/Lalo_Schifrin","http://dbpedia.org/resource/George_Lucas","United States","English"
"http://dbpedia.org/resource/THX_1138","THX 1138","http://dbpedia.org/resource/George_Lucas","http://dbpedia.org/resource/Lalo_Schifrin","http://dbpedia.org/resource/Walter_Murch","United States","English"
"http://dbpedia.org/resource/Taxi_Driver","Taxi Driver","http://dbpedia.org/resource/Martin_Scorsese","http://dbpedia.org/resource/Bernard_Herrmann","http://dbpedia.org/resource/Paul_Schrader","United States","English"
"http://dbpedia.org/resource/The_Apartment","The Apartment","http://dbpedia.org/resource/Billy_Wilder","http://dbpedia.org/resource/Adolph_Deutsch","http://dbpedia.org/resource/Billy_Wilder","United States","English"
"http://dbpedia.org/resource/The_Apartment","The Apartment","http://dbpedia.org/resource/Billy_Wilder","http://dbpedia.org/resource/Adolph_Deutsch","http://dbpedia.org/resource/I.A.L._Diamond","United States","English"
"http://dbpedia.org/resource/The_Best_Years_of_Our_Lives","The Best Years of Our Lives","http://dbpedia.org/resource/William_Wyler","http://dbpedia.org/resource/Emil_Newman","http://dbpedia.org/resource/Robert_E._Sherwood","United States","English"
"http://dbpedia.org/resource/The_Best_Years_of_Our_Lives","The Best Years of Our Lives","http://dbpedia.org/resource/William_Wyler","http://dbpedia.org/resource/Hugo_Friedhofer","http://dbpedia.org/resource/Robert_E._Sherwood","United States","English"
