"w","writer","bdate","sexo","f"
"http://dbpedia.org/resource/Nick_Giannopoulos","Nikolaos Giannopoulos",1963-07-01,"male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Nick_Giannopoulos","Nikolaos Giannopoulos","1963-7-1","male","http://dbpedia.org/resource/The_Wannabes"
"http://dbpedia.org/resource/Richard_Brooks","Richard Brooks",1912-05-18,"male","http://dbpedia.org/resource/Storm_Warning_(1951_film)"
"http://dbpedia.org/resource/Richard_Brooks","Richard Brooks","1912-5-18","male","http://dbpedia.org/resource/Storm_Warning_(1951_film)"
"http://dbpedia.org/resource/Rudolf_Bernauer","Rudolf Bernauer","1880-1-20","male","http://dbpedia.org/resource/The_Garden_of_Eden_(1928_film)"
"http://dbpedia.org/resource/Timothy_Williams_(actor)","Timothy Williams",1967-07-30,"male","http://dbpedia.org/resource/Tell_(2014_film)"
"http://dbpedia.org/resource/Timothy_Williams_(actor)","Timothy Williams","1967-7-30","male","http://dbpedia.org/resource/Tell_(2014_film)"
"http://dbpedia.org/resource/Akira_Yoshimura","Akira Yoshimura","1927-5-1","male","http://dbpedia.org/resource/The_Eel_(film)"
"http://dbpedia.org/resource/Cary_Fukunaga","Cary Fukunaga",1977-07-10,"male","http://dbpedia.org/resource/Sin_Nombre_(2009_film)"
"http://dbpedia.org/resource/Cary_Fukunaga","Cary Fukunaga","1977-7-10","male","http://dbpedia.org/resource/Sin_Nombre_(2009_film)"
"http://dbpedia.org/resource/James_Booth","James Booth",1927-12-19,"male","http://dbpedia.org/resource/Sunburn_(film)"
"http://dbpedia.org/resource/Larry_Semon","Larry Semon",1889-02-09,"male","http://dbpedia.org/resource/Special_Delivery_(1927_film)"
"http://dbpedia.org/resource/Larry_Semon","Larry Semon","1889-7-6","male","http://dbpedia.org/resource/Special_Delivery_(1927_film)"
"http://dbpedia.org/resource/Larry_Semon","Larry Semon",1889-02-09,"male","http://dbpedia.org/resource/The_Show_(1922_film)"
"http://dbpedia.org/resource/Larry_Semon","Larry Semon","1889-7-6","male","http://dbpedia.org/resource/The_Show_(1922_film)"
"http://dbpedia.org/resource/Philip_Yordan","Philip Yordan",1914-04-01,"male","http://dbpedia.org/resource/The_Chase_(1946_film)"
"http://dbpedia.org/resource/Philip_Yordan","Philip Yordan","1914-4-1","male","http://dbpedia.org/resource/The_Chase_(1946_film)"
"http://dbpedia.org/resource/Sergei_Bodrov","Sergei Bodrov",1948-06-28,"male","http://dbpedia.org/resource/Somebody_to_Love_(film)"
"http://dbpedia.org/resource/Sergei_Bodrov","Sergei Bodrov","1948-6-28","male","http://dbpedia.org/resource/Somebody_to_Love_(film)"
"http://dbpedia.org/resource/Sergei_Bodrov","Сергей Бодров",1948-06-28,"male","http://dbpedia.org/resource/Somebody_to_Love_(film)"
"http://dbpedia.org/resource/Sergei_Bodrov","Сергей Бодров","1948-6-28","male","http://dbpedia.org/resource/Somebody_to_Love_(film)"
"http://dbpedia.org/resource/Basil_Radford","Basil Radford",1897-06-25,"male","http://dbpedia.org/resource/The_Galloping_Major_(film)"
"http://dbpedia.org/resource/Basil_Radford","Basil Radford","1897-6-25","male","http://dbpedia.org/resource/The_Galloping_Major_(film)"
"http://dbpedia.org/resource/Daniel_Fuchs","Daniel Fuchs","1909-6-25","male","http://dbpedia.org/resource/Storm_Warning_(1951_film)"
"http://dbpedia.org/resource/Daniel_Fuchs","Daniel Fuchs","1909-6-25","male","http://dbpedia.org/resource/The_Gangster"
"http://dbpedia.org/resource/Frances_Marion","Frances Marion",1888-11-18,"female","http://dbpedia.org/resource/Stella_Maris_(1918_film)"
"http://dbpedia.org/resource/Frances_Marion","Frances Marion",1888-11-18,"female","http://dbpedia.org/resource/The_Cossacks_(1928_film)"
"http://dbpedia.org/resource/Frank_Launder","Frank Launder",1906-01-28,"male","http://dbpedia.org/resource/Those_Were_the_Days_(1934_film)"
"http://dbpedia.org/resource/Frank_Launder","Frank Launder","1906-1-28","male","http://dbpedia.org/resource/Those_Were_the_Days_(1934_film)"
